original_clause	status	remaining_clauses	seconds
575	RETAIN_CAP	2329	0.007906
576	RETAIN_CAP	2329	0.007686
577	RETAIN_CAP	2329	0.008364
578	RETAIN_CAP	2329	0.008227
579	RETAIN_CAP	2329	0.008133
580	RETAIN_CAP	2329	0.007712
581	RETAIN_CAP	2329	0.007586
582	RETAIN_CAP	2329	0.008256
583	RETAIN_CAP	2329	0.008008
584	RETAIN_CAP	2329	0.008161
585	RETAIN_CAP	2329	0.008804
586	RETAIN_CAP	2329	0.008686
587	RETAIN_CAP	2329	0.008177
588	RETAIN_CAP	2329	0.008490
589	RETAIN_CAP	2329	0.008242
590	RETAIN_CAP	2329	0.007911
591	RETAIN_CAP	2329	0.007794
592	RETAIN_CAP	2329	0.007491
593	RETAIN_CAP	2329	0.007708
594	RETAIN_CAP	2329	0.007663
595	RETAIN_CAP	2329	0.007930
596	RETAIN_CAP	2329	0.007926
597	RETAIN_CAP	2329	0.007446
598	RETAIN_CAP	2329	0.007907
599	RETAIN_CAP	2329	0.007796
600	RETAIN_CAP	2329	0.007543
601	RETAIN_CAP	2329	0.008319
602	RETAIN_CAP	2329	0.008211
603	RETAIN_CAP	2329	0.008494
604	RETAIN_CAP	2329	0.008557
605	RETAIN_CAP	2329	0.009441
606	RETAIN_CAP	2329	0.007882
607	RETAIN_CAP	2329	0.009048
608	RETAIN_CAP	2329	0.008860
609	RETAIN_CAP	2329	0.008591
610	RETAIN_CAP	2329	0.008236
611	RETAIN_CAP	2329	0.009012
612	RETAIN_CAP	2329	0.009195
613	RETAIN_CAP	2329	0.008367
614	RETAIN_CAP	2329	0.009252
615	RETAIN_CAP	2329	0.009138
616	RETAIN_CAP	2329	0.009458
617	RETAIN_CAP	2329	0.008821
618	RETAIN_CAP	2329	0.008200
619	RETAIN_CAP	2329	0.008854
620	RETAIN_CAP	2329	0.008863
621	RETAIN_CAP	2329	0.008230
622	RETAIN_CAP	2329	0.008781
623	RETAIN_CAP	2329	0.014658
624	RETAIN_CAP	2329	0.014186
625	RETAIN_CAP	2329	0.007525
626	RETAIN_CAP	2329	0.007478
627	RETAIN_CAP	2329	0.007472
628	RETAIN_CAP	2329	0.007478
629	RETAIN_CAP	2329	0.007400
630	RETAIN_CAP	2329	0.007389
631	RETAIN_CAP	2329	0.007455
632	RETAIN_CAP	2329	0.007492
633	RETAIN_CAP	2329	0.007886
634	RETAIN_CAP	2329	0.008185
635	RETAIN_CAP	2329	0.007848
636	RETAIN_CAP	2329	0.008057
637	RETAIN_CAP	2329	0.008013
638	RETAIN_CAP	2329	0.007999
639	RETAIN_CAP	2329	0.008003
640	RETAIN_CAP	2329	0.007823
641	RETAIN_CAP	2329	0.007994
642	RETAIN_CAP	2329	0.007968
643	RETAIN_CAP	2329	0.008498
644	RETAIN_CAP	2329	0.007935
645	RETAIN_CAP	2329	0.010161
646	RETAIN_CAP	2329	0.008835
647	RETAIN_CAP	2329	0.008823
648	RETAIN_CAP	2329	0.008046
649	RETAIN_CAP	2329	0.007571
650	RETAIN_CAP	2329	0.008302
651	RETAIN_CAP	2329	0.009100
652	RETAIN_CAP	2329	0.010558
653	RETAIN_CAP	2329	0.008994
654	RETAIN_CAP	2329	0.007920
655	RETAIN_CAP	2329	0.008416
656	RETAIN_CAP	2329	0.010141
657	RETAIN_CAP	2329	0.009546
658	RETAIN_CAP	2329	0.008200
659	RETAIN_CAP	2329	0.008854
660	RETAIN_CAP	2329	0.008092
661	RETAIN_CAP	2329	0.008894
662	RETAIN_CAP	2329	0.008403
663	RETAIN_CAP	2329	0.008906
664	RETAIN_CAP	2329	0.012631
665	RETAIN_CAP	2329	0.012302
666	RETAIN_CAP	2329	0.007660
667	RETAIN_CAP	2329	0.007611
668	RETAIN_CAP	2329	0.007920
669	RETAIN_CAP	2329	0.007695
670	RETAIN_CAP	2329	0.007527
671	RETAIN_CAP	2329	0.007520
672	RETAIN_CAP	2329	0.007712
673	RETAIN_CAP	2329	0.007605
674	RETAIN_CAP	2329	0.008622
675	RETAIN_CAP	2329	0.008809
676	RETAIN_CAP	2329	0.008483
677	RETAIN_CAP	2329	0.008022
678	RETAIN_CAP	2329	0.008233
679	RETAIN_CAP	2329	0.008048
680	RETAIN_CAP	2329	0.008179
681	RETAIN_CAP	2329	0.007686
682	RETAIN_CAP	2329	0.007410
683	RETAIN_CAP	2329	0.007723
684	RETAIN_CAP	2329	0.007339
685	RETAIN_CAP	2329	0.008296
686	RETAIN_CAP	2329	0.008704
687	RETAIN_CAP	2329	0.008087
688	RETAIN_CAP	2329	0.008121
689	RETAIN_CAP	2329	0.008295
690	RETAIN_CAP	2329	0.007980
691	RETAIN_CAP	2329	0.007955
692	RETAIN_CAP	2329	0.007778
